НАЗВА,ОПИС,ЦІНА
,,
,,
,,
"Міжзубні щітки Dentaid Interprox Plus Super Micro на ручці, 0.7 мм Interprox","Міжзубні щітки INTERPROX PLUS 2G призначені для профілактики та контролю розвитку пародонтальних захворювань та карієсу у важкодоступних міжзубних ділянках, діастемах, зонах фуркації. Рекомендовані людям із широкими інтердентальними проміжками, незнімними ортопедичними конструкціями, імплантатами, брекетами.

Властивості
 Щетинки виготовлені з високоякісного матеріалу Tynex®, що дозволяє їх максимально гладкого відполірувати — вони жодним чином не ушкоджують поверхню зубів, ясен, імплантатів
 Чорні щетинки призначені для візуалізації бактеріального нальоту, а білі — допомагають визначити слабкі кровоточиві області ясен
 Мають вигнуту ручку, що полегшує процес чищення у бічних ділянках
 Дріт міжзубних щіточок INTERPROX PLUS 2G виготовлений із нержавіючої сталі та покритий поліуретаном (не пошкоджує імплантати, зуби, ясна)
 Випускаються конічної та циліндричної форми

Рекомендації з використання
 Виберіть міжзубну щітку необхідного розміру для кожного окремого проміжку. Розмір на упаковці показує мінімальний необхідний розмір між зубами або елементами конструкції. Щітка повинна вільно проходити так, щоб щетинки торкалися зубів, а дріт об них не терся. Якщо дріт згинається або треться об ясна, використовуйте щіточку меншого розміру.

Переваги продукту
Спеціальний дизайн забезпечує доступ до міжзубних проміжків без пошкодження ясен.
Високоякісні щетинки Tynex сприяють ретельному догляду за яснами.
Дріт з нержавкої сталі покритий поліуретаном для захисту слизових, зубів та імплантатів.
Захисний ковпачок призначений для гігієнічного зберігання та можливості брати щітки із собою в дорогу.
Міжзубні щітки бренду Dentaid відповідають міжнародному стандарту ISO 16409.",
"Міжзубні щітки Dentaid Interprox Plus Super Micro на ручці 1,3 мм, 6 шт","Міжзубні щітки INTERPROX PLUS 2G призначені для профілактики та контролю розвитку пародонтальних захворювань та карієсу у важкодоступних міжзубних ділянках, діастемах, зонах фуркації. Рекомендовані людям із широкими інтердентальними проміжками, незнімними ортопедичними конструкціями, імплантатами, брекетами.

Властивості
 Щетинки виготовлені з високоякісного матеріалу Tynex®, що дозволяє їх максимально гладкого відполірувати — вони жодним чином не ушкоджують поверхню зубів, ясен, імплантатів
 Чорні щетинки призначені для візуалізації бактеріального нальоту, а білі — допомагають визначити слабкі кровоточиві області ясен
 Мають вигнуту ручку, що полегшує процес чищення у бічних ділянках
 Дріт міжзубних щіточок INTERPROX PLUS 2G виготовлений із нержавіючої сталі та покритий поліуретаном (не пошкоджує імплантати, зуби, ясна)
 Випускаються конічної та циліндричної форми

Рекомендації з використання
 Виберіть міжзубну щітку необхідного розміру для кожного окремого проміжку. Розмір на упаковці показує мінімальний необхідний розмір між зубами або елементами конструкції. Щітка повинна вільно проходити так, щоб щетинки торкалися зубів, а дріт об них не терся. Якщо дріт згинається або треться об ясна, використовуйте щіточку меншого розміру.

Переваги продукту
Спеціальний дизайн забезпечує доступ до міжзубних проміжків без пошкодження ясен.
Високоякісні щетинки Tynex сприяють ретельному догляду за яснами.
Дріт з нержавкої сталі покритий поліуретаном для захисту слизових, зубів та імплантатів.
Захисний ковпачок призначений для гігієнічного зберігання та можливості брати щітки із собою в дорогу.
Міжзубні щітки бренду Dentaid відповідають міжнародному стандарту ISO 16409.",
"Міжзубні щітки Dentaid Interprox Plus Super Micro на ручці, 0.7 мм Interprox","Міжзубні щітки INTERPROX PLUS 2G призначені для профілактики та контролю розвитку пародонтальних захворювань та карієсу у важкодоступних міжзубних ділянках, діастемах, зонах фуркації. Рекомендовані людям із широкими інтердентальними проміжками, незнімними ортопедичними конструкціями, імплантатами, брекетами.

Властивості
 Щетинки виготовлені з високоякісного матеріалу Tynex®, що дозволяє їх максимально гладкого відполірувати — вони жодним чином не ушкоджують поверхню зубів, ясен, імплантатів
 Чорні щетинки призначені для візуалізації бактеріального нальоту, а білі — допомагають визначити слабкі кровоточиві області ясен
 Мають вигнуту ручку, що полегшує процес чищення у бічних ділянках
 Дріт міжзубних щіточок INTERPROX PLUS 2G виготовлений із нержавіючої сталі та покритий поліуретаном (не пошкоджує імплантати, зуби, ясна)
 Випускаються конічної та циліндричної форми

Рекомендації з використання
 Виберіть міжзубну щітку необхідного розміру для кожного окремого проміжку. Розмір на упаковці показує мінімальний необхідний розмір між зубами або елементами конструкції. Щітка повинна вільно проходити так, щоб щетинки торкалися зубів, а дріт об них не терся. Якщо дріт згинається або треться об ясна, використовуйте щіточку меншого розміру.

Переваги продукту
Спеціальний дизайн забезпечує доступ до міжзубних проміжків без пошкодження ясен.
Високоякісні щетинки Tynex сприяють ретельному догляду за яснами.
Дріт з нержавкої сталі покритий поліуретаном для захисту слизових, зубів та імплантатів.
Захисний ковпачок призначений для гігієнічного зберігання та можливості брати щітки із собою в дорогу.
Міжзубні щітки бренду Dentaid відповідають міжнародному стандарту ISO 16409.",
Міжзубні щітки кутові TEPE (1 шт),,
Портативний іригатор MEDICA+ WaterPuls 8.0 Фуксія,"Портативний іригатор MEDICA+ WaterPuls 8.0 Fuchsia — професійна гігієна ротової порожнини щодня
Потужне рішення для глибокого очищення
Портативний іригатор MEDICA+ WaterPuls 8.0 Fuchsia створений для ефективного догляду за ротовою порожниною та особливо рекомендується користувачам із брекетами, імплантами, коронками й іншими ортодонтичними конструкціями. Потужний водяний струмінь до 150 PSI у поєднанні з технологією імпульсної подачі до 1380 пульсацій за хвилину ефективно видаляє залишки їжі, зубний наліт і бактерії навіть із важкодоступних ділянок.

Оновлений акумулятор ємністю 1600 mAh забезпечує до 30 днів автономної роботи, а повністю водонепроникний корпус стандарту IPX7 дозволяє безпечно використовувати пристрій у ванній кімнаті чи душі.



5 режимів для індивідуального догляду
Strong — інтенсивне очищення на максимальній потужності.
Normal — щоденний режим для комплексного догляду.
Massage — делікатний масаж ясен.
Shoot — точкове очищення важкодоступних ділянок.
DIY — ручне регулювання тиску від 80 до 150 PSI.
Резервуар об'ємом 250 мл та комплект змінних насадок підходять як для щоденної гігієни, так і для догляду при брекетах, імплантах та інших ортодонтичних конструкціях. У комплект також входить фірмовий тканинний мішечок MEDICA+, який забезпечує зручне зберігання та транспортування пристрою.

Комплексний догляд за ротовою порожниною
WaterPuls 8.0 допомагає підтримувати здоров'я ясен, ефективно очищає міжзубні проміжки та доповнює щоденне чищення зубів там, де звичайної зубної щітки недостатньо. Для досягнення максимального результату рекомендується використовувати рідину для іригатора MEDICA+ Protect 360, яка м'яко очищає, доглядає за яснами, освіжає подих і підходить для щоденного використання в усіх типах іригаторів.

MEDICA+ WaterPuls 8.0 поєднує сучасні технології, продуману комплектацію та професійний рівень догляду, забезпечуючи комфортну гігієну ротової порожнини вдома, на роботі та в подорожах.",3500
Портативний іригатор MEDICA+ WaterPuls 8.0 Чорний,"Портативний іригатор MEDICA+ WaterPuls 8.0 — професійна гігієна ротової порожнини щодня
Потужне рішення для глибокого очищення
Портативний іригатор MEDICA+ WaterPuls 8.0 Black створений для ефективного догляду за ротовою порожниною та особливо рекомендується користувачам із брекетами, імплантами, коронками й іншими ортодонтичними конструкціями. Потужний водяний струмінь до 150 PSI у поєднанні з технологією імпульсної подачі до 1380 пульсацій за хвилину ефективно видаляє залишки їжі, зубний наліт і бактерії навіть із важкодоступних ділянок.

Оновлений акумулятор ємністю 1600 mAh забезпечує до 30 днів автономної роботи, а повністю водонепроникний корпус стандарту IPX7 дозволяє безпечно використовувати пристрій у ванній кімнаті чи душі.



5 режимів для індивідуального догляду
Strong — інтенсивне очищення на максимальній потужності.
Normal — щоденний режим для комплексного догляду.
Massage — делікатний масаж ясен.
Shoot — точкове очищення важкодоступних ділянок.
DIY — ручне регулювання тиску від 80 до 150 PSI.
Резервуар об'ємом 250 мл та комплект змінних насадок підходять як для щоденної гігієни, так і для догляду при брекетах, імплантах та інших ортодонтичних конструкціях. У комплект також входить фірмовий тканинний мішечок MEDICA+, який забезпечує зручне зберігання та транспортування пристрою.

Комплексний догляд за ротовою порожниною
WaterPuls 8.0 допомагає підтримувати здоров'я ясен, ефективно очищає міжзубні проміжки та доповнює щоденне чищення зубів там, де звичайної зубної щітки недостатньо. Для досягнення максимального результату рекомендується використовувати рідину для іригатора MEDICA+ Protect 360, яка м'яко очищає, доглядає за яснами, освіжає подих і підходить для щоденного використання в усіх типах іригаторів.

MEDICA+ WaterPuls 8.0 поєднує сучасні технології, продуману комплектацію та професійний рівень догляду, забезпечуючи комфортну гігієну ротової порожнини вдома, на роботі та в подорожах.",
Набір наконечників для іригатора MEDICA+ WaterPuls 8.0 ,"Один іригатор — для всієї родини
Набір із 4 змінних насадок MEDICA+ забезпечує індивідуальну та гігієнічну гігієну ротової порожнини для кожного члена сім’ї.

Комплексний догляд
У комплекті: пародонтальна, ортодонтична, насадка для язика та для видалення нальоту — для щоденного очищення, догляду за яснами й ортодонтичними конструкціями.

Якість і безпечність
Міцні матеріали, легка заміна та відповідність стандартам СЕС / ISO / SE гарантують надійність і комфорт у використанні.

3D-огляд

Набір насадок для іригатора MEDICA+ (4 шт) — це універсальний комплект для ефективної та делікатної гігієни ротової порожнини вдома. Насадки забезпечують індивідуальний догляд відповідно до потреб вашої ротової порожнини, дозволяючи досягти професійного результату без відвідування стоматолога.

У наборі 4 змінні насадки:
Пародонтальна насадка — м’яко очищує пародонтальні кишені, видаляє бактерії з-під лінії ясен, запобігає розвитку запалень і пародонтозу.
Ортодонтична насадка — спеціально розроблена для догляду за брекетами, імплантами, мостами та важкодоступними ділянками.
Насадка для очищення язика — ефективно видаляє наліт і бактерії з поверхні язика, усуває неприємний запах і підтримує свіжість дихання.
Насадка для видалення нальоту — інтенсивно очищує зуби від м’якого нальоту, залишків їжі та запобігає утворенню зубного каменю.
Переваги набору MEDICA+:
Міцні, гігієнічні матеріали, безпечні для емалі та ясен.
Зручна конструкція для швидкої заміни насадок.
Забезпечують комплексний догляд: очищення, масаж, профілактику запалень і неприємного запаху.
Набір насадок MEDICA+ — ідеальне рішення для тих, хто цінує чистоту, свіжість і здоров’я своєї усмішки. Підходить для щоденного використання всією родиною.

Японські технології. Сертифікати якості: СЕС / ISO / SE.",500
Рідина для іригатора MEDICA + Protect 360 (500 мл),"Рідина для іригатора MEDICA+ створена для дбайливого очищення порожнини рота та підтримання здоров’я ясен. Завдяки натуральним компонентам і мінералам засіб м’яко видаляє залишки їжі, допомагає зменшити кількість бактерій і забезпечує тривале відчуття чистоти.

Основні властивості:

сприяє очищенню міжзубних проміжків і ясенних кишень;
має заспокійливий ефект завдяки рослинним екстрактам;
допомагає зменшити дискомфорт і підтримує баланс мікрофлори;
не містить спирту, підходить для щоденного використання;
має приємний м’ятний смак і освіжає подих.
Активні компоненти:

Бішофіт — природне джерело магнію, зміцнює ясна;
Ксиліт — знижує кількість бактерій, що викликають наліт;
Екстракти кропиви, ромашки, звіробою, деревію та брусниці — заспокоюють і пом’якшують слизову;
Бетаїн і гліцерин — підтримують зволоження і комфорт;
Ефірна олія м’яти — дарує свіжість і легкий охолоджувальний ефект.
Переваги:

підходить для використання в усіх типах іригаторів;
можна застосовувати як ополіскувач після чищення зубів;
ефективна профілактика неприємного запаху з рота;
виготовлена в Україні з натуральних інгредієнтів.
Спосіб застосування:

Розведіть рідину водою у співвідношенні 1:5.
Використовуйте в іригаторі або для полоскання порожнини рота після їжі.
Не ковтайте, після процедури не вживайте їжу протягом 30 хвилин.
Протипоказання:

діти до 7 років;
індивідуальна чутливість до компонентів.
Склад (INCI):

Aqua [Water], Sorbitol, Urtica dioica Leaf Extract, Chamomilla Recutita Extract, Hypericum perforatum Extract, Achillea Millefolium Extract, Vaccinium Vitis Extract, Magnesium Chloride, Calcium Sulfate, Calcium Chloride, Sodium Chloride, Glycerin, Xylitol, Betaine, PEG-40 Hydrogenated Castor Oil, Potassium Sorbate, Essential Oil Spearmint, Saccharinum Natricum, Disodium EDTA, Citric Acid, Sodium Benzoate.",400
